Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.02   6933.18     1.59                             UpdateTree() (main_v2.3.2.cpp:2669 @ 40aab7)
  0.02   6934.76     1.58                             Tree::Average() (main_v2.3.2.cpp:1513 @ 40532d)
  0.02   6936.31     1.55                             UpdateField() (main_v2.3.2.cpp:2493 @ 40a021)
  0.02   6937.84     1.53                             Species::DeathRate(float, float, int) (main_v2.3.2.cpp:734 @ 40e4cf)
  0.02   6939.35     1.51                             Tree::Growth() (main_v2.3.2.cpp:1162 @ 4033a6)
  0.02   6940.84     1.50                             Tree::Average() (main_v2.3.2.cpp:1514 @ 405380)
  0.02   6942.33     1.49                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:814 @ 40ea19)
  0.02   6943.80     1.48 1500709556     0.00     0.00  Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:784 @ 40e776)
  0.02   6945.27     1.47                             Tree::Growth() (main_v2.3.2.cpp:1183 @ 403541)
  0.02   6946.73     1.46                             Tree::Update() (main_v2.3.2.cpp:1395 @ 404687)
  0.02   6948.17     1.44                             Tree::CalcLAI() (main_v2.3.2.cpp:1038 @ 402a0e)
  0.02   6949.59     1.41                             Tree::UpdateTreeBiometry() (main_v2.3.2.cpp:1285 @ 403bc1)
  0.02   6951.00     1.41                             Tree::Growth() (main_v2.3.2.cpp:1156 @ 4032c2)
  0.02   6952.39     1.40                             genrand2() (main_v2.3.2.cpp:3251 @ 40d9d5)
  0.02   6953.77     1.38                             Tree::DisperseSeed() (main_v2.3.2.cpp:1340 @ 403e95)
  0.02   6955.14     1.37                             Tree::Average() (main_v2.3.2.cpp:1510 @ 4051c1)
  0.02   6956.48     1.34                             UpdateField() (main_v2.3.2.cpp:2521 @ 40a1a7)
  0.02   6957.82     1.34                             UpdateTreefall() (main_v2.3.2.cpp:2763 @ 40b052)
  0.02   6959.14     1.32 2340583938     0.00     0.00  genrand2() (main_v2.3.2.cpp:3235 @ 40d91c)
  0.02   6960.45     1.31                             Tree::Fluxh(int) (main_v2.3.2.cpp:1089 @ 402e3f)
  0.02   6961.75     1.30                             UpdateField() (main_v2.3.2.cpp:2491 @ 40a047)
  0.02   6963.04     1.29                             UpdateField() (main_v2.3.2.cpp:2436 @ 409e1f)
  0.02   6964.31     1.27                             Species::dailyGPPleaf(float, float, float, float, float) (main_v2.3.2.cpp:803 @ 40e841)
  0.02   6965.57     1.27                             Tree::Growth() (main_v2.3.2.cpp:1155 @ 403371)
  0.02   6966.82     1.25                             Tree::UpdateLeafDynamics() (main_v2.3.2.cpp:1245 @ 403855)
  0.02   6968.00     1.18 305412876     0.00     0.00  std::exp(float) (cmath:242 @ 40df7c)
  0.02   6969.17     1.17                             genrand2() (main_v2.3.2.cpp:3247 @ 40d95a)
  0.02   6970.31     1.14 960000000     0.00     0.00  Tree::Update() (main_v2.3.2.cpp:1357 @ 403fce)
  0.02   6971.44     1.14                             Tree::Fluxh(int) (main_v2.3.2.cpp:1083 @ 402dcd)
  0.02   6972.56     1.12                             Tree::Update() (main_v2.3.2.cpp:1368 @ 4040dc)
  0.02   6973.67     1.11                             Tree::Growth() (main_v2.3.2.cpp:1195 @ 403614)
  0.02   6974.75     1.08                             Tree::Growth() (main_v2.3.2.cpp:1155 @ 4032b7)
  0.02   6975.82     1.07                             Tree::Birth(Species*, int, int) (main_v2.3.2.cpp:927 @ 4021ae)
  0.02   6976.89     1.07                             Tree::Fluxh(int) (main_v2.3.2.cpp:1073 @ 402ce1)
