Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.05   4818.79     2.26                             Tree::Fluxh(int) (troll.cpp:1293 @ 40327c)
  0.04   4821.02     2.23                             Tree::CalcLAI() (troll.cpp:1244 @ 402f40)
  0.04   4823.16     2.14                             Species::DeathRate(float, float, int) (troll.cpp:832 @ 40e653)
  0.04   4825.27     2.12                             Tree::UpdateTreeBiometry() (troll.cpp:1493 @ 403f56)
  0.04   4827.36     2.09                             Tree::Growth() (troll.cpp:1399 @ 4039bb)
  0.04   4829.44     2.09                             Tree::UpdateTreeBiometry() (troll.cpp:1475 @ 403da6)
  0.04   4831.51     2.07                             UpdateField() (troll.cpp:2692 @ 40a360)
  0.04   4833.57     2.06                             std::vector<int, std::allocator<int> >::_M_erase_at_end(int*) (stl_vector.h:1352 @ 40fe31)
  0.04   4835.53     1.97                             Tree::Growth() (troll.cpp:1381 @ 4037ac)
  0.04   4837.49     1.96                             UpdateField() (troll.cpp:2748 @ 40a4f4)
  0.04   4839.44     1.95                             UpdateField() (troll.cpp:2698 @ 40a3b5)
  0.04   4841.32     1.88                             Tree::Growth() (troll.cpp:1392 @ 40388c)
  0.04   4843.17     1.84                             Tree::CalcLAI() (troll.cpp:1258 @ 4030fe)
  0.04   4845.00     1.83                             Tree::Update() (troll.cpp:1612 @ 404a6b)
  0.04   4846.83     1.83                             Tree::CalcLAI() (troll.cpp:1213 @ 402cbd)
  0.04   4848.62     1.80                             Tree::Growth() (troll.cpp:1372 @ 403759)
  0.04   4850.40     1.78                             Tree::UpdateLeafDynamics() (troll.cpp:1459 @ 403c95)
  0.03   4852.13     1.73                             Tree::Average() (troll.cpp:1727 @ 405705)
  0.03   4853.85     1.72 870355305     0.00     0.00  flor(float) (troll.cpp:338 @ 40e213)
  0.03   4855.56     1.71                             Tree::CalcLAI() (troll.cpp:1241 @ 402f05)
  0.03   4857.26     1.70                             Tree::Growth() (troll.cpp:1366 @ 403749)
  0.03   4858.95     1.69                             Tree::Growth() (troll.cpp:1383 @ 4037ff)
  0.03   4860.60     1.66                             Tree::DisperseSeed() (troll.cpp:1554 @ 40426d)
  0.03   4862.17     1.57                             genrand2() (troll.cpp:3487 @ 40db3e)
  0.03   4863.72     1.55 1500806301     0.00     0.00  Tree::Fluxh(int) (troll.cpp:1269 @ 403106)
  0.03   4865.27     1.55                             UpdateTree() (troll.cpp:2937 @ 40b1b8)
  0.03   4866.81     1.54                             Tree::Average() (troll.cpp:1728 @ 405758)
  0.03   4868.29     1.48                             Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:987 @ 40f61b)
  0.03   4869.75     1.46 1500806301     0.00     0.00  Species::dailyGPPleaf(float, float, float, float, float) (troll.cpp:906 @ 40e9f0)
  0.03   4871.21     1.46                             std::vector<int, std::allocator<int> >::_M_erase_at_end(int*) (stl_vector.h:1353 @ 40fe57)
  0.03   4872.67     1.46                             Tree::UpdateTreeBiometry() (troll.cpp:1496 @ 403f99)
  0.03   4874.11     1.44                             Species::DeathRate(float, float, int) (troll.cpp:827 @ 40e55d)
  0.03   4875.52     1.41                             Tree::Update() (troll.cpp:1609 @ 404a5f)
  0.03   4876.89     1.37                             UpdateTreefall() (troll.cpp:2990 @ 40b349)
  0.03   4878.26     1.37                             Tree::Birth(Species*, int, int) (troll.cpp:1127 @ 4027c5)
  0.03   4879.62     1.37                             Tree::CalcLAI() (troll.cpp:1240 @ 402ee7)
  0.03   4880.98     1.36                             genrand2() (troll.cpp:3483 @ 40dac3)
  0.03   4882.34     1.36                             Tree::Fluxh(int) (troll.cpp:1290 @ 403269)
  0.03   4883.69     1.35                             UpdateTree() (troll.cpp:2939 @ 40b026)
  0.03   4885.03     1.34                             UpdateTree() (troll.cpp:2961 @ 40b20b)
  0.03   4886.37     1.34                             Tree::CalcLAI() (troll.cpp:1242 @ 402f12)
  0.03   4887.67     1.30                             Tree::Average() (troll.cpp:1724 @ 405599)
  0.03   4888.95     1.28                             UpdateTree() (troll.cpp:2937 @ 40afdf)
  0.03   4890.23     1.28                             Tree::Fluxh(int) (troll.cpp:1276 @ 403152)
  0.03   4891.49     1.26                             Tree::DisperseSeed() (troll.cpp:1557 @ 404305)
  0.03   4892.74     1.26                             Tree::Fluxh(int) (troll.cpp:1278 @ 403162)
  0.02   4893.96     1.22                             UpdateField() (troll.cpp:2746 @ 40a51a)
  0.02   4895.17     1.21                             Tree::CalcLAI() (troll.cpp:1215 @ 402ce0)
  0.02   4896.37     1.20                             Tree::Growth() (troll.cpp:1406 @ 4039ec)
  0.02   4897.56     1.20                             Species::DeathRate(float, float, int) (troll.cpp:825 @ 40e557)
  0.02   4898.72     1.16                             Tree::Birth(Species*, int, int) (troll.cpp:1120 @ 4026c4)
  0.02   4899.87     1.15 960000000     0.00     0.00  Tree::Update() (troll.cpp:1571 @ 4043a6)
  0.02   4901.02     1.15                             Tree::Update() (troll.cpp:1582 @ 4044b4)
  0.02   4902.15     1.13                             Tree::UpdateLeafDynamics() (troll.cpp:1450 @ 403bba)
  0.02   4903.26     1.11                             UpdateTree() (troll.cpp:2942 @ 40b093)
  0.02   4904.37     1.11                             Tree::Growth() (troll.cpp:1373 @ 40377e)
  0.02   4905.46     1.09                             UpdateTree() (troll.cpp:2959 @ 40b231)
  0.02   4906.55     1.09                             Tree::Average() (troll.cpp:1726 @ 4056b2)
  0.02   4907.63     1.08                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const (stl_iterator.h:791 @ 40febf)
  0.02   4908.68     1.06                             Tree::Average() (troll.cpp:1732 @ 4057fe)
